brand_name,model_name,file_name,knowledge_type,title,page_content,page_number,parts_name,parts_number
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,control panel,"[{'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': '51-1', 'manual_page': '209', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': 'ECPU 보드 결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': '71-1', 'manual_page': '223', 'error_title': '타이어앵글센서 이상', 'defect_title': 'ECPU 보드 결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': 'A4', 'manual_page': '166', 'error_title': '가속 스위치 이상', 'defect_title': 'CPU결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': 'A6', 'manual_page': '167', 'error_title': '작업레버 스위치 이상', 'defect_title': 'CPU결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': '64-1', 'manual_page': '219', 'error_title': '리프트 솔레노이드 이상', 'defect_title': 'ECPU 보드 결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': 'A8', 'manual_page': '168', 'error_title': 'F1 휴즈 개방', 'defect_title': 'CPU결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': 'A8', 'manual_page': '168', 'error_title': 'F1 휴즈 개방', 'defect_title': 'CPU결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': '54-1', 'manual_page': '213', 'error_title': '스윙 솔레노이드 이상', 'defect_title': 'ECPU 보드 결함'}, {'parts_number': 2401, 'parts_number_6digit': '2401-01', 'parts_name_6digit': 'PANEL ASSY, DRIVE CONTROL', 'error_code': '51-3', 'manual_page': '210', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': 'ECPU 보드 결함'}]",17,control panel(2401),2401
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,contactor panel,"[{'parts_number': 2402, 'parts_number_6digit': '2402-44', 'parts_name_6digit': 'FUSE', 'error_code': 'A8', 'manual_page': '168', 'error_title': 'F1 휴즈 개방', 'defect_title': 'F1 퓨즈 교환'}, {'parts_number': 2402, 'parts_number_6digit': '2402-44', 'parts_name_6digit': 'FUSE', 'error_code': 'A8', 'manual_page': '168', 'error_title': 'F1 휴즈 개방', 'defect_title': 'F1 퓨즈 설치를 올바르게 하십시오.'}]",24,contactor panel(2042),2402
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,battery mount charger,"[{'parts_number': 2511, 'parts_number_6digit': '2511-47', 'parts_name_6digit': 'FUSE', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '퓨즈 (Fch) 단선'}, {'parts_number': 2511, 'parts_number_6digit': '2511-31', 'parts_name_6digit': 'PLUG SUB-ASSY', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '호환되지 않음'}, {'parts_number': 2511, 'parts_number_6digit': '2511-02', 'parts_name_6digit': 'TRANSFORMER ASSY', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '탭 조정 결함'}, {'parts_number': 2511, 'parts_number_6digit': '2511-02', 'parts_name_6digit': 'TRANSFORMER ASSY', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '변압기 결함'}, {'parts_number': 2511, 'parts_number_6digit': '2511-DD', 'parts_name_6digit': 'MAGNET, SWICH', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': 'MSch 결함'}, {'parts_number': 2511, 'parts_number_6digit': '2511-DG', 'parts_name_6digit': 'HARNESS', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '연결이상'}, {'parts_number': 2511, 'parts_number_6digit': '2511-10', 'parts_name_6digit': 'TIMER ASSY', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '충전기 조작 패널 ASSY 결함'}]",31,battery mount charger(2511),2511
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,accelerator,"[{'parts_number': 2611, 'parts_number_6digit': '2611-01', 'parts_name_6digit': 'ACCELERATOR ASSY', 'error_code': 'A4', 'manual_page': '166', 'error_title': '가속 스위치 이상', 'defect_title': '악셀레이터 스위치 조정'}]",39,accelerator(2611),2611
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,electric power steering,"[{'parts_number': 4505, 'parts_number_6digit': '4505-11', 'parts_name_6digit': 'CABLE ASSY, SPIRAL', 'error_code': '72-1', 'manual_page': '225', 'error_title': '조향 토크 센서 이상', 'defect_title': '스파이럴 결함 (단락)'}, {'parts_number': 4505, 'parts_number_6digit': '4505-54', 'parts_name_6digit': 'SENSOR, THROTTLE POSITION', 'error_code': '72-1', 'manual_page': '225', 'error_title': '조향 토크 센서 이상', 'defect_title': '조향 토크 센서 결함'}, {'parts_number': 4505, 'parts_number_6digit': '4505-11', 'parts_name_6digit': 'CABLE ASSY, SPIRAL', 'error_code': '72-1', 'manual_page': '225', 'error_title': '조향 토크 센서 이상', 'defect_title': '스파이럴 결함 (단선)'}]",49,electric power steering(4505),4505
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,suspension link,"[{'parts_number': 4805, 'parts_number_6digit': '4805-11', 'parts_name_6digit': 'CYLIDER ASSY, SWING LOCK', 'error_code': '54-1', 'manual_page': '213', 'error_title': '스윙 솔레노이드 이상', 'defect_title': '솔레노이드 결함'}]",59,suspension link(4805),4805
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,wiring & clamp,"[{'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '71-1', 'manual_page': '223', 'error_title': '타이어앵글센서 이상', 'defect_title': '메인 하네스 결함 (단락)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '51-1', 'manual_page': '209', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '메인 하네스 결함 (단락)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '51-1', 'manual_page': '209', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '메인 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-KW', 'parts_name_6digit': 'HARNESS', 'error_code': '51-1', 'manual_page': '209', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '서브 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '51-3', 'manual_page': '210', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '메인 하네스 결함 (단락)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '51-3', 'manual_page': '210', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '메인 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': 'A8', 'manual_page': '168', 'error_title': 'F1 휴즈 개방', 'defect_title': 'CN104-3 배선 결함'}, {'parts_number': 5602, 'parts_number_6digit': '5602-KW', 'parts_name_6digit': 'HARNESS', 'error_code': '51-3', 'manual_page': '210', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '서브 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '72-1', 'manual_page': '225', 'error_title': '조향 토크 센서 이상', 'defect_title': '메인 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '54-1', 'manual_page': '213', 'error_title': '스윙 솔레노이드 이상', 'defect_title': '하네스 결함'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': 'A6', 'manual_page': '167', 'error_title': '작업레버 스위치 이상', 'defect_title': '단락 수리'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': 'A4', 'manual_page': '166', 'error_title': '가속 스위치 이상', 'defect_title': '단락 수리'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '71-1', 'manual_page': '223', 'error_title': '타이어앵글센서 이상', 'defect_title': '메인 하네스 결함 (단선)'}, {'parts_number': 5602, 'parts_number_6digit': '5602-10', 'parts_name_6digit': 'HARNESS ASSY,WIRING', 'error_code': '64-1', 'manual_page': '219', 'error_title': '리프트 솔레노이드 이상', 'defect_title': '하네스 결함'}]",78,wiring & clamp(5602),5602
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,meter & switch,"[{'parts_number': 5702, 'parts_number_6digit': '5702-LZ', 'parts_name_6digit': 'SENSOR ASSY', 'error_code': '51-3', 'manual_page': '210', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '우측 전방 속도 센서 결함 (단선)'}, {'parts_number': 5702, 'parts_number_6digit': '5702-85', 'parts_name_6digit': 'SWICH, ASSY, OPS', 'error_code': 'A6', 'manual_page': '167', 'error_title': '작업레버 스위치 이상', 'defect_title': '리미트 스위치 조정'}, {'parts_number': 5702, 'parts_number_6digit': '5702-LZ', 'parts_name_6digit': 'SENSOR ASSY', 'error_code': '51-1', 'manual_page': '209', 'error_title': 'TBC 시스템에서 진단 오류 코드가 표시될 때', 'defect_title': '좌측 전방 속도 센서 결함 (단선)'}, {'parts_number': 5702, 'parts_number_6digit': '5702-32', 'parts_name_6digit': 'METER ASSY', 'error_code': 'F7', 'manual_page': '35-37', 'error_title': '충전 시작 실패', 'defect_title': '디스플레이 결함'}]",92,meter & switch(5702),5702
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,sensor,"[{'parts_number': 5803, 'parts_number_6digit': '5803-DG', 'parts_name_6digit': 'SENSOR ASSY, WHEEL ANGLE', 'error_code': '71-1', 'manual_page': '223', 'error_title': '타이어앵글센서 이상', 'defect_title': '타이어 각도 센서 결함'}, {'parts_number': 5803, 'parts_number_6digit': '5803-DG', 'parts_name_6digit': 'SENSOR ASSY, WHEEL ANGLE', 'error_code': '74-1', 'manual_page': '227', 'error_title': '타이어 각도 센서 일치 값 이상', 'defect_title': '타이어 각도 센서의 중립 일치를 수행하십시오.'}]",100,sensor(5803),5803
toyota,7FBR10_18,toyota_parts_book.pdf,parts_book,oil control valve,"[{'parts_number': 6705, 'parts_number_6digit': '6705-NK', 'parts_name_6digit': 'SOLENOID ASSY', 'error_code': '64-1', 'manual_page': '219', 'error_title': '리프트 솔레노이드 이상', 'defect_title': '솔레노이드 결함'}]",130,oil control valve(6705),6705
